Cluster_1_Reward,Cluster_2_Reward,Cluster_3_Reward,Cluster_4_Reward,Cluster_5_Reward,Cluster_6_Reward,Cluster_7_Reward,Cluster_8_Reward,Cluster_9_Reward,Cluster_10_Reward,Cluster_11_Reward,Cluster_12_Reward
0.0002479338842975207,0.007694214876033054,0.0031129476584022065,0.0003305785123966943,0.0602578512396694,0.4802323232323228,0.009506887052341595,0.4597428833792461,0.00043801652892561983,0.01675206611570248,0.00024793388429752067,0.0001735537190082646
0.0,0.012203856749311294,0.004325068870523417,8.264462809917356e-05,0.49559228650137704,0.31493112947658364,0.009090909090909096,0.4410743801652885,0.033278236914600544,0.0036088154269972457,0.004407713498622589,0.0
0.0,0.03049586776859503,8.264462809917356e-05,0.00016528925619834712,0.023140495867768597,0.24853994490358153,0.013471074380165286,0.6521212121212132,0.03889807162534434,0.007630853994490356,0.00016528925619834712,0.00016528925619834712
0.0031129476584022065,0.023044077134986216,0.0,0.00016528925619834712,0.00509090909090909,0.06233608815427002,0.0013966942148760334,0.6559118457300287,0.22899173553719027,0.014407713498622595,0.004325068870523416,0.004490358126721763
0.0,0.017685950413223135,0.0026639118457300274,0.0,0.01000440771349862,0.22708539944903597,0.007495867768595042,0.580541781450873,0.04964187327823694,0.030752066115702463,0.08039485766758499,0.00016528925619834712
0.00024793388429752067,0.009476584022038567,8.264462809917356e-05,8.264462809917356e-05,0.5927746556473825,0.36889531680440735,0.0032782369146005536,0.40281818181818096,0.001322314049586777,0.001925619834710744,0.0,0.00016528925619834712
0.0,0.034369146005509624,8.264462809917356e-05,0.0022865013774104686,0.027537190082644627,0.0908016528925619,0.07786042240587698,0.5596795224977053,0.20868870523415997,0.016148760330578504,8.264462809917356e-05,0.00016528925619834712
0.0003111111111111113,0.017588888888888893,0.00011111111111111118,0.11111111111111105,0.07737333333333331,0.30314444444444505,0.0016000000000000005,0.5141888888888884,0.01907777777777778,0.0018000000000000006,0.0034333333333333355,0.0
0.00024793388429752067,0.20473002754820943,9.0909090909091e-05,0.00033884297520661176,0.023186776859504137,0.07378787878787878,0.0035426997245179095,0.6460964187327835,0.05184297520661159,0.011041322314049593,0.0,0.0
8.264462809917356e-05,0.005977961432506886,0.00033057851239669424,0.008650137741046832,0.07226005509641881,0.608914600550965,0.0031129476584022043,0.2911836547291087,0.0004958677685950413,0.0009090909090909095,0.054535353535353555,0.0
0.0,0.012495867768595044,0.00016528925619834712,0.0032782369146005536,0.029079889807162536,0.216804407713499,0.006702479338842973,0.6511845730027556,0.047325068870523394,0.049206611570247964,0.002203856749311295,0.00024793388429752067
