K,alpha,oracle_calls,approximation,p_values
1,0.1,1,0.7059164029166533,[np.float64(-1.079)]
2,0.75,7,0.9033277197104225,"[np.float64(-8.638), np.float64(-0.205)]"
3,0.9,18,0.9977017060447189,"[np.float64(-23.585), np.float64(-2.073), np.float64(0.616)]"
5,0.9500000000000001,50,1.0,"[np.float64(-48.445), np.float64(-2.09), np.float64(0.45), np.float64(0.587), np.float64(0.691)]"
