K,alpha,oracle_calls,approximation,p_values
1,0.1,1,0.894121199407261,[-1.079]
3,0.8500000000000001,13,0.9458460662467998,"[-15.29, -0.018, 0.491]"
5,0.9500000000000001,54,0.9996599065578579,"[-48.445, -0.1, 0.381, 0.536, 0.768]"
7,0.99,453,1.0,"[-247.246, -0.252, 0.32, 0.402, 0.507, 0.727, 0.761]"
