K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.7897189116756501,[np.float64(-1.079)]
2,0.30000000000000004,6,0.8510590603829385,"[np.float64(-2.064), np.float64(0.234)]"
3,0.4,10,0.896828738129045,"[np.float64(-2.712), np.float64(0.072), np.float64(0.536)]"
4,0.7000000000000001,29,0.896828738129045,"[np.float64(-6.967), np.float64(0.16), np.float64(0.37), np.float64(0.685)]"
5,0.8500000000000001,87,1.0,"[np.float64(-15.29), np.float64(0.082), np.float64(0.385), np.float64(0.539), np.float64(0.827)]"
