K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.7750668776873624,[np.float64(-1.079)]
2,0.5,9,0.8860208126164235,"[np.float64(-3.585), np.float64(0.427)]"
3,0.8500000000000001,60,1.0,"[np.float64(-15.29), np.float64(0.434), np.float64(0.788)]"
