K,alpha,oracle_calls,approximation,p_values
1,0.1,1,0.7056507936507911,[np.float64(-1.079)]
2,0.75,7,0.9495414105765004,"[np.float64(-8.638), np.float64(-0.205)]"
4,0.9500000000000001,59,0.9989899793035797,"[np.float64(-48.445), np.float64(-1.318), np.float64(-1.028), np.float64(0.875)]"
5,0.99,464,1.0,"[np.float64(-247.246), np.float64(-1.588), np.float64(-1.429), np.float64(-1.208), np.float64(0.828)]"
