K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.7870837965767452,[np.float64(-1.079)]
2,0.30000000000000004,5,0.875843016105394,"[np.float64(-2.064), np.float64(0.234)]"
3,0.45,8,0.9516853932584194,"[np.float64(-3.112), np.float64(-0.028), np.float64(0.486)]"
4,0.8,44,0.9516853932584194,"[np.float64(-11.136), np.float64(-0.12), np.float64(0.357), np.float64(0.518)]"
5,0.8500000000000001,69,0.9589760503148232,"[np.float64(-15.29), np.float64(-3.072), np.float64(-0.151), np.float64(0.325), np.float64(0.41)]"
6,0.9500000000000001,273,1.0,"[np.float64(-48.445), np.float64(-11.361), np.float64(-0.227), np.float64(0.331), np.float64(0.412), np.float64(0.909)]"
