K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.7065276210965996,[np.float64(-1.079)]
2,0.25,5,0.8041080532118099,"[np.float64(-1.792), np.float64(0.302)]"
3,0.4,9,0.9034012265996874,"[np.float64(-2.712), np.float64(0.072), np.float64(0.536)]"
4,0.65,21,0.9034012265996874,"[np.float64(-5.768), np.float64(-0.269), np.float64(0.286), np.float64(0.643)]"
6,0.8500000000000001,73,1.0,"[np.float64(-15.29), np.float64(-0.253), np.float64(0.262), np.float64(0.435), np.float64(0.788), np.float64(0.894)]"
