K,alpha,oracle_calls,approximation,p_values
1,0.1,1,0.7472152854525635,[np.float64(-1.079)]
2,0.75,7,0.9588218595170142,"[np.float64(-8.638), np.float64(-0.205)]"
3,0.9,20,0.9588218595170142,"[np.float64(-23.585), np.float64(-2.073), np.float64(-0.537)]"
6,0.9500000000000001,64,1.0,"[np.float64(-48.445), np.float64(-11.361), np.float64(-2.09), np.float64(-1.318), np.float64(-1.028), np.float64(0.875)]"
