K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.6399366784599513,[np.float64(-1.079)]
2,0.25,5,0.9576323460045234,"[np.float64(-1.792), np.float64(0.302)]"
3,0.9500000000000001,301,1.0,"[np.float64(-48.445), np.float64(-0.911), np.float64(0.912)]"
