K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.6819562407087963,[np.float64(-1.079)]
2,0.25,5,0.8392030152370948,"[np.float64(-1.792), np.float64(0.302)]"
3,0.4,8,0.9489263534834252,"[np.float64(-2.712), np.float64(0.072), np.float64(0.536)]"
5,0.6000000000000001,21,0.9959373227203367,"[np.float64(-4.864), np.float64(-0.466), np.float64(-0.1), np.float64(0.175), np.float64(0.381)]"
6,0.75,40,0.9959373227203367,"[np.float64(-8.638), np.float64(-1.409), np.float64(-0.355), np.float64(0.111), np.float64(0.222), np.float64(0.416)]"
7,0.8,51,0.9959373227203367,"[np.float64(-11.136), np.float64(-2.034), np.float64(-0.327), np.float64(0.111), np.float64(0.222), np.float64(0.319), np.float64(0.489)]"
8,0.99,2336,1.0,"[np.float64(-247.246), np.float64(-3.536), np.float64(-0.4), np.float64(0.062), np.float64(0.216), np.float64(0.276), np.float64(0.346), np.float64(0.962)]"
