K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.6852411038295565,[np.float64(-1.079)]
2,0.25,5,0.8955633648394501,"[np.float64(-1.792), np.float64(0.302)]"
3,0.55,13,0.9919120527382209,"[np.float64(-4.156), np.float64(-0.289), np.float64(0.033)]"
4,0.6000000000000001,17,0.9999999999999987,"[np.float64(-4.864), np.float64(-0.466), np.float64(-0.1), np.float64(0.588)]"
