K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.8018668417421256,[np.float64(-1.079)]
2,0.35000000000000003,6,0.8779931584948626,"[np.float64(-2.367), np.float64(0.158)]"
3,0.45,8,0.8886227544910201,"[np.float64(-3.112), np.float64(-0.028), np.float64(0.486)]"
4,0.6000000000000001,12,0.9338530877176948,"[np.float64(-4.864), np.float64(-0.466), np.float64(0.267), np.float64(0.633)]"
5,0.75,23,0.9338530877176948,"[np.float64(-8.638), np.float64(-1.409), np.float64(0.096), np.float64(0.322), np.float64(0.661)]"
6,0.8500000000000001,66,0.953654998400148,"[np.float64(-15.29), np.float64(-3.072), np.float64(0.119), np.float64(0.229), np.float64(0.62), np.float64(0.81)]"
7,0.9500000000000001,292,0.9930392649814881,"[np.float64(-48.445), np.float64(-5.953), np.float64(0.116), np.float64(0.144), np.float64(0.595), np.float64(0.768), np.float64(0.869)]"
9,0.99,2095,1.0,"[np.float64(-247.246), np.float64(-7.431), np.float64(0.09), np.float64(0.145), np.float64(0.589), np.float64(0.745), np.float64(0.842), np.float64(0.87), np.float64(0.941)]"
