K,alpha,oracle_calls,approximation,p_values
1,0.1,1,0.7472152854525635,[np.float64(-1.079)]
2,0.75,7,0.9615658339855934,"[np.float64(-8.638), np.float64(-0.205)]"
3,0.9,26,0.9615658339855934,"[np.float64(-23.585), np.float64(-1.305), np.float64(-0.729)]"
5,0.9500000000000001,68,0.9967227052010198,"[np.float64(-48.445), np.float64(-11.361), np.float64(-1.704), np.float64(-1.07), np.float64(0.872)]"
6,0.99,501,0.9991993641475632,"[np.float64(-247.246), np.float64(-22.273), np.float64(-1.984), np.float64(-1.242), np.float64(0.831), np.float64(0.903)]"
