K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.7329661885150159,[np.float64(-1.079)]
2,0.45,9,0.9489616376086659,"[np.float64(-3.112), np.float64(0.486)]"
3,0.8500000000000001,65,1.0,"[np.float64(-15.29), np.float64(0.566), np.float64(0.837)]"
