K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.8254541089861561,[np.float64(-1.079)]
2,0.45,8,0.9402263816043113,"[np.float64(-3.112), np.float64(0.486)]"
3,0.65,22,0.9402263816043113,"[np.float64(-5.768), np.float64(0.286), np.float64(0.643)]"
5,0.9,122,1.0,"[np.float64(-23.585), np.float64(0.339), np.float64(0.421), np.float64(0.494), np.float64(0.875)]"
