K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.7793141188121975,[np.float64(-1.079)]
2,0.25,5,0.8195000000000021,"[np.float64(-1.792), np.float64(0.302)]"
3,0.45,10,0.9043551561091357,"[np.float64(-3.112), np.float64(-0.028), np.float64(0.486)]"
4,0.65,22,0.9043551561091357,"[np.float64(-5.768), np.float64(-0.692), np.float64(0.286), np.float64(0.643)]"
5,0.7000000000000001,27,0.9983090377623985,"[np.float64(-6.967), np.float64(-0.992), np.float64(-0.494), np.float64(0.37), np.float64(0.685)]"
6,0.75,32,1.0,"[np.float64(-8.638), np.float64(-1.409), np.float64(-0.807), np.float64(0.238), np.float64(0.428), np.float64(0.714)]"
