K,alpha,oracle_calls,approximation,p_values
1,0.1,2,0.6432335019044243,[np.float64(-1.079)]
2,0.30000000000000004,6,0.8025583696954327,"[np.float64(-2.064), np.float64(0.234)]"
3,0.45,10,0.82338543617114,"[np.float64(-3.112), np.float64(-0.028), np.float64(0.486)]"
4,0.65,22,0.82338543617114,"[np.float64(-5.768), np.float64(-0.692), np.float64(-0.269), np.float64(0.286)]"
6,0.9,123,1.0,"[np.float64(-23.585), np.float64(-5.146), np.float64(-0.448), np.float64(0.248), np.float64(0.734), np.float64(0.801)]"
